Bedrijfsnaam,Website,Bezoekadres,Postadres,KvK,E-mail,Organisatietype,Specialisatie
StichtingKlinischeCardiogenetica,http://cardiogen.eu,"Baarnseweg28,3735MHBoschenDuin","Baarnseweg28,3735MHBoschenDuin",65908864,susannebaars88@outlook.com,Bedrijf,Niet bekend
NBCL,http://www.nbcl.nl,"Kerkenbos1097,6546BBNijmegen","Kerkenbos1097C,6546BBNijmegen",56691475,info@nbcl.nl,Bedrijf,"Biotechnologie,Diagnostica,Medicaldevices"
EuropeanMedicalContractManufacturingB.V.,http://www.emcm.com,"Middenkampweg17,6545CHNijmegen","Middenkampweg17,6545CHNijmegen",10039596,info@emcm.com,Bedrijf,"Medicaldevices,Research&Development"
FagroConsultancyB.V.,http://www.fagro.nl,"IJsselburcht3,6825BSArnhem","Amerikalaan14,6199AEMaastricht-Airport",14054317,info@fagro.nl,Bedrijf,"Consulting,Financieeladvies,JuridischAdvies"
AscomBV,http://www.ascom.nl/,"Savannahweg31,3542SWUtrecht","Postbus40242,3504AAUtrecht",30041716,info@ascom.nl,Niet bekend,Niet bekend
BioteqPartnerBV,http://www.bioteqpartner.com,"Kantershof135,1104GGAmsterdam","Coldplaystraat17,6663HXNijmegenLent",58786643,jenny.bekkers@biopa.nl,Bedrijf,Bedrijf
ABodyIssue,http://www.abodyissue.com,"Dijkstraat39,6828JSArnhem","Sonsbeeksingel116,6822BKArnhem",59751185,hello@abodyissue.com,Niet bekend,Niet bekend
NutriciaResearchB.V.,,"Uppsalalaan12,3584CTUtrecht","Uppsalalaan12,3584CTUtrecht",9096817,Niet bekend,Niet bekend,Niet bekend
MeconBV,http://www.mecon.nl,"Koopmanslaan25,7005BKDoetinchem","Postbus679,7005ARDoetinchem",9186117,info@mecon.nl,Niet bekend,Niet bekend
SanadomeNijmegen(SanatelB.V.),http://www.sanadome.nl,"WegdoorJonkerbos90,6532SZNijmegen","Postbus31100,6503CCNijmegen",10143700,meeting@sanadome.nl,Bedrijf,Gezondheid&Welzijn
Bindinc.B.V.,www.bindinc.nl,"'sGravelandseweg80,1217EWHilversum","Postbus580,1200ANHilversum",32060212,anita.vanderaa@bindinc.nl,Bedrijf,"Gezondheid&Welzijn,Marketing&communicatieadvies"
Adelante,https://www.adelante-zorggroep.nl/,"Zandbergsweg111,6432CCHoensbroek","Postbus88,6430ABHoensbroek",41072650,info@adelante-zorggroep.nl,Zorginstelling,Revalidatie
PontesMedical,http://www.pontesmedical.com,"Heidelberglaan100,3584CXUtrecht","Postbus85500,3508GAUtrecht",30244197,l.a.m.evers@umcutrecht.nl,Netwerkorganisatie,Niet bekend
StichtingZorgAccent,http://www.zorgaccent.nl,"Bellavistastraat3,7604ADAlmelo","Postbus226,7600AEAlmelo",8142634,bestuur@zorgaccent.nl,Zorginstelling,"Ouderenzorg,Revalidatie"
IPPZ(Karify),http://www.ippz.nl,"Pythagoraslaan101,3584BBUtrecht","Pythagoraslaan101,3584BBUtrecht",30239954,info@ippz.nl,Bedrijf,"Consulting,eHealth,ICT"
OostNL,http://www.oostnl.nl,"LaanvanMalkenschoten40,7333NPApeldoorn","Postbus1026,7301BGApeldoorn",6060570,info@oostnl.nl,Netwerkorganisatie,"Netwerkorganisatie,Ontwikkelingsmaatschappij"
RadboudUniversiteit,http://www.ru.nl/,"Comeniuslaan4,6525HPNijmegen","Postbus9102,6500HCNijmegen",41055629,Niet bekend,"Kennisinstelling,universiteit",research
AbenaHealthcareB.V.,http://www.abena.nl/,"Akkerdistel2,5831PJBoxmeer","Akkerdistel2A,5831PJBoxmeer",12025762,info@abena.nl,Bedrijf,"eHealth,Medicaldevices"
TwentseZorgacademie,http://www.twentsezorgacademie.nl,"WethouderBeversstraat165,7543BKEnschede","WethouderBeversstraat165,7543BKEnschede",70370532,info@twentsezorgacademie.nl,Netwerkorganisatie,Thuiszorg
Zorgalliantie,http://www.zorgalliantie.com/,"BergenDalseweg81,6522BCNijmegen","BergenDalseweg81,6522BCNijmegen",65508157,zorgalliantie@han.nl,Netwerkorganisatie,Niet bekend
Micro-ServeLaboratorium,http://www.micro-serve.eu,"Einsteinstraat35,3902HNVeenendaal","Einsteinstraat35,3902HNVeenendaal",65269209,info@micro-serve.nl,Bedrijf,"Biotechnologie,Diagnostica,Medicaldevices"
VitaHoldingB.V.,http://www.vita-motion.nl,"Bellstraat35,3771AHBarneveld","Bellstraat35,3771AHBarneveld",52902552,info@vita-motion.nl,Bedrijf,"Medicaldevices,Robotica"
Qualizorg,http://www.qualizorg.nl,"Maagdenburgstraat22,7421ZCDeventer","Maagdenburgstraat22,7421ZCDeventer",8117771,info@qualizorg.nl,Bedrijf,"Consulting,eHealth,ICT,Research&Development"
AbelInnovationLab,http://www.yourabel.com,"Berberisstraat3,6543RMNijmegen","Berberisstraat3,6543RMNijmegen",62756478,thijs@yourabel.com,Niet bekend,Niet bekend
MedintecB.V.,http://www.medintec.eu,"Benedendorpseweg150,6862WPOosterbeek","Benedendorpseweg150,6862WPOosterbeek",59402407,baltussen@medintec.eu,Niet bekend,Niet bekend
ModiQuestResearchBV,http://www.modiquest.com/,"Molenstraat110,5342CCOss","Molenweg79,5349ACOss",9140674,info@modiquest.com,Niet bekend,Niet bekend
AgfaHealthCare,www.agfa.com,"Polakweg43049,2288GGRijswijk","Postbus12,2280AARijswijk",27010967,healthcare.nl@agfa.com,Bedrijf,"ICT,Medicaldevices"
"DondersInstituteforBrain,CognitionandBehaviour",http://www.ru.nl/donders/,"Kapittelweg29,6525ENNIJMEGEN","Postbus9101,6500HBNIJMEGEN",41058985,info@donders.ru.nl,Niet bekend,Niet bekend
PuntkommaNijmegenB.V.,www.puntkomma.nl,"Graafseweg107,6512BSNijmegen","Postbus13,6500AANijmegen",9128740,info@puntkomma.nl,Bedrijf,Marketing&communicatieadvies
NeofollicsHairTechnologyEuropeB.V.,http://www.neofollics.com,"Meander251,6825MCArnhem","Meander251,6825MCArnhem",63336782,info@neofollics.com,Bedrijf,Biotechnologie
HealthInnovationPark(HIP),http://www.healthinnovationpark.nl,"DokterStolteweg74a,8025AZZwolle","Postbus1226,8001BEZwolle",59535458,info@healthinnovationpark.nl,Netwerkorganisatie,Provincie
BactimmBV,http://www.bactimm.com/,"Middenkampweg19,6545CHNijmegen","Postbus6876,6503GJNijmegen",10146813,avmerode@bactimm.nl,Bedrijf,"Biotechnologie,Medicaldevices,Research&Development"
Pluryn,http://www.pluryn.nl,"Industrieweg50,6541TWNijmegen","Postbus53,6500ABNijmegen",9109774,mdraaisma@pluryn.nl,Zorginstelling,gehandicaptenzorg
MedicalDeviceprojectB.V.,http://www.mdproject.nl/,"Lupinesingel556,2403EBAlphena/dRijn","Lupinesingel556,2403EBAlphena/dRijn",27326333,info@mdproject.nl,Bedrijf,"Biotechnologie,Consulting,Medicaldevices"
UnitronSystemsB.V.,http://www.unitron.nl,"Schansestraat7,4515RNIJzendijke","Schansestraat7,4515RNIJzendijke",21015212,info@unitron.nl,Bedrijf,Medicaldevices
DeNieuweArbeid -DNAGelderland,https://www.denieuwearbeid.nu,"Javastraat68,6524MGNijmegen","Javastraat68,6524MGNijmegen",60964014,christianne@denieuwearbeid.nu,Netwerkorganisatie,"consultancy,HRM"
TiCaPro,http://www.ticapro.nl,"Wilhelminalaan102,6641KNBeuningen","Wilhelminalaan102,6641KNBeuningen",63253720,vincentwiliamphilips@gmail.com,Niet bekend,Niet bekend
TotemOpenHealthSensori.o.,http://openhealth.wemaketotem.org/,"Transistorweg7,6534ATNijmegen","Transistorweg7B,6534ATNijmegen",68356765,wouter@wemaketotem.com,Bedrijf,"Diagnostica,eHealth"
VitaValley,http://www.vitavalley.nl,"Zonneoordlaan17,6718TKEde","Zonneoordlaan17,6718TKEde",9147953,info@vitavalley.nl,Netwerkorganisatie,Netwerkorganisatie
HogeschoolVHLVanHallLarenstein,http://www.hogeschoolvhl.nl,"Larensteinselaan26,6882CTVelp","Postbus9001,6880GBVelp",1087061,info@hogeschoolvhl.nl,Kennisinstelling,HBO
HelixConsulting,http://www.helix-consulting.nl,"MarinusRuppertgebouw002,Leuvenlaan21,3584CEUtrecht","WillemC.vanUnnikgebouw,Heidelberglaan2,3584CSUtrecht",40482284,info@helix-consulting.nl,Bedrijf,Consultancy
Wimenco,www.wimenco.com,"DeKruigang3,6691PKGendt","DeKruigang3,6691PKGendt",64825329,info@wimenco.com,Bedrijf,"Businessdevelopment,Consulting"
LifetecZONe,http://www.lifeteczone.nl,"Buitenop8B1,6041LARoermond","Postbus1311,6040KHRoermond",14077518,info@lifeteczone.nl,Netwerkorganisatie,"Medicaldevices,Netwerkorganisatie"
IsatisHealthB.V.,http://www.isatis.nl,"KeizerKarelplein32,6511NHNijmegen","KeizerKarelplein32,6511NHNijmegen",9133018,jack.van.poll@isatis.nl,Bedrijf,"eHealth,Farma,ICT"
Surge-onMedicalB.V.,www.surge-on.eu,"Molengraaffsingel12,2629JDDelft","Oliemolen106,2614LGDelft",63571463,b.groosman@surge-on.eu,Bedrijf,"Medicaldevices,Research&Development"
Sleepvision,http://sleepvision.nl/,"Nassaulaan38,6571ADBergenDal","Nassaulaan38,6571ADBergenDal",9180168,info@sleepvision.nl,Bedrijf,Consulting
TebodinNetherlandsB.V.,http://www.tebodin.com/,"KeizerKarelVSingel45,5654NMEINDHOVEN","Postbus7613,5601JPEINDHOVEN",27336603,Niet bekend,Niet bekend,Niet bekend
ProvincieGelderland,http://www.gelderland.nl,"Prinsenhof3,6841CEArnhem","Postbus9090,6800GXArnhem",51468751,post@gelderland.nl,Overheid,Provincie
Zivver,http://www.zivver.com,"Overschiestraat65,1062XDAmsterdam","Overschiestraat65,1062XDAmsterdam",62937057,info@zivver.com,Bedrijf,ICT
MedValueBV,http://www.medvalue.nl,"GeertGrooteplein10,6525GANijmegen","Postbus9101,huispost715,6500HBNijmegen",61682349,info@medvalue.nl,Bedrijf,"Businessdevelopment,Consulting,Marketing&communicatieadvies"
CleanroomCombinationGroupBV,http://www.ccgholding.nl,"DeWaterlaat2,5571MZBergeijk","Postbus87,5570ABBergeijk",17092600,info@ccgholding.nl,Bedrijf,Bouwenelektrotechniek
NationaalReumafonds,http://www.reumafonds.nl,"Dr.JanvanBreemenstraat4,1056ABAmsterdam   ","Postbus59091,1040KBAmsterdam ",40408531,info@reumafonds.nl,Kennisinstelling,WO
HaleCompany,www.halecompany.eu,"Ericalaan2A,6703EMWageningen","Ericalaan2A,6703EMWageningen",30280319,info@halecompany.eu,Bedrijf,"Businessdevelopment,Consulting"
CRDLT,www.contactdooraanraking.nl,"VanAkenweg2,6218HNMaastricht","VanAkenweg2,6218HNMaastricht",61894249,info@crdlt.com,Bedrijf,"eHealth,Gezondheid&Welzijn,Robotica"
CBMRScientificNanoscienceB.V.,http://www.cbmrscientific.com,"BlauweHoek4,6686AEDoornenburg","BlauweHoek4,6686AEDoornenburg",62863541,info@cbmrscientific.com,Bedrijf,"Biotechnologie,Research&Development"
Umenz,www.umenz.com,"Franciscusweg14,1216SKHilversum","Franciscusweg,1216SFHilversum",54703751,huige@umenz.com,Bedrijf,Bedrijf-eHealth
Medox.nlB.V.,www.medox.nl,"Utopialaan36,5232CE'sHertogenbosch","Postbus24,5201AA'sHertogenbosch",9147530,info@medox.nl,Niet bekend,Niet bekend
Arnold+Siedsma,http://www.arnold-siedsma.com,"Oranjesingel47,6511NNNijmegen","Oranjesingel47,6511NNNijmegen",20060991,kadamczyk@arnold-siedsma.nl,Bedrijf,Octrooi-enmerkenbureau
NeurOp,http://www.neurop.nl,"Waghenaerdreef92,2661RBBergschenhoek","Waghenaerdreef92,2661RBBergschenhoek",62358448,koen.meeusen@neurop.nl,Niet bekend,Niet bekend
FiltexAirFiltration,http://filtex-ned.nl/leenders/,"Weezenhof3270,6536GZNijmegen","Postbus6932,6503GKNijmegen",10043387,info@filtex-ned.nl,Niet bekend,Niet bekend
Hezelburcht,https://www.hezelburcht.com/,"BergenDalseweg122,6522BWNijmegen","Postbus31126,6503CCNijmegen",10142759,info@hezelburcht.com,Bedrijf,"Consulting,Financieeladvies"
ZilverenKruis,http://www.zilverenkruis.nl,"Storkstraat12,3833LBLeusden","Postbus444,2300AKLeiden",30208637,jeroen.kemperman@zilverenkruis.nl,Bedrijf,Zorgverzekeraar
ProPersona,www.propersona.nl,"Wolfheze2,6874BEWolfheze","Postbus27,6870AARenkum",41053219,m.kuit@propersona.nl,Zorginstelling,GGZ
MindYourMarket,www.mindyourmarket.nl,"Herestraat106,9711LMGroningen","Herestraat106,9711LMGroningen",63649748,info@mindyourmarket.nl,Bedrijf,Marketing&communicatieadvies
ZZGZorggroep,http://www.zzgzorggroep.nl/,"Nijmeegsebaan29,6561KEGroesbeek","Postbus9001,6560GBGroesbeek",9162727,info@zzgzorggroep.nl,Bedrijf,"Ouderenzorg,Thuiszorg"
QserveGroup,http://www.qservegroup.com/,"Asterweg19,1031HLARNHEM","Postbus674,6800ARARNHEM",37117708,info@qservegroup.com,Niet bekend,Niet bekend
SSUFoundation,www.ssufoundation.nl,"Heidelberglaan2,3584CSUtrecht","Heidelberglaan2,3584CSUtrecht",41265117,ssu.geo@uu.nl,Kennisinstelling,WO
Promovendis,http://www.promovendis.nl,"Bachlaan7,1411JBNaarden","Bachlaan7,1411JBNaarden",61734527,info@promovendis.nl,Niet bekend,Niet bekend
TMSInternationalB.V.,http://www.tmsi.com/,"Zutphensestraat57,7575EJOldenzaal","Zutphensestraat57,7575EJOldenzaal",20056730,support@tmsi.com,Bedrijf,"Medicaldevices,Research&Development"
BambiMedical,http://www.bambi-medical.com,"HighTechCampus12,5656AEEindhoven",",",66325153,info@bambi-medical.com,Bedrijf,Medicaldevices
GlobalCoreMedicalB.V.,http://www.globalcoremedical.com/,"Schoterweg12,2021HMHaarlem","Schoterweg12,2021HMHaarlem",67304672,info@globalcoremedical.com,Bedrijf,Investeerder
TechmedicInternationalB.V.,http://www.techmedicinternational.com,"BroekerWerf6,1721PCBroekopLangedijk","BroekerWerf6,1721PCBroekopLangedijk",57442622,info@techmedicinternational.com,Niet bekend,Niet bekend
VoetencentrumArnhemB.V.,http://www.voetencentrumarnhem.nl,"NieuweAamsestraat26,6662NDElst","Postbus51,6660ABElst",52552586,info@voetencentrumarnhem.nl,Bedrijf,"ICT,Medicaldevices,Robotica"
NovioSysB.V.,http://www.noviosys.com,"Transistorweg5,6534ATNijmegen","Transistorweg5,6534ATNijmegen",63562626,pavla.jansova@noviosys.com,Bedrijf,"eHealth,Medicaldevices,Research&Development"
Elekta|NucletronOperationsBV,http://www.elekta.com,"Waardgelder1,3905THVeenendaal","Waardgelder1,3905THVeenendaal",30129540,info.europe@elekta.com,Bedrijf,Medicaldevices
RocheNederlandB.V.,http://www.roche.nl,"Beneluxlaan2,3446GRWoerden","Postbus44,3440AAWoerden",30041907,carel.van_vugt@roche.com,Bedrijf,Farma
MedInReali.o.,http://www.medinreal.com/,"Transistorweg7,6534ATNijmegen","Transistorweg7B,6534ATNijmegen",67670067,miguel@medinreal.com,Bedrijf,"eHealth,ICT,Medicaldevices"
DecodeonB.V.,www.Decodeon.com,"Boothstraat5,3512BTUtrecht","Boothstraat5,3512BTUtrecht",6480915,info@decodeon.com,Bedrijf,"Businessdevelopment,eHealth,Gezondheid&Welzijn,ICT,Netwerkorganisatie,Consultancy"
UniversiteitTwente(MIRA),,"Drienerlolaan5,7522NBEnschede","Postbus217,7500AEEnschede",80166817,info@utwente.nl,Kennisinstelling,"Research&Development,WO"
TheHabitAgencyB.V.,http://www.habitagency.com,"LaanvanRasseghem33,4835CGBreda","LaanvanRasseghem33,4835CGBreda",57827125,contact@habitagency.com,Bedrijf,"Consulting,eHealth"
Biolegio,http://www.biolegio.com/,"Lagelandseweg56,6545CGNijmegen","Postbus91,6500ABNijmegen",53086996,info@biolegio.com,Bedrijf,"Biotechnologie,Research&Development"
